tasks,offlines,repeat,tag,date,init,limit,setup,time,calls
16,0,5,pusty,2007-01-14 12:03:24,3,1,2,Command exited with non-zero status 137 0.00,Timeout: aborting command ``../../src/branch'' with signal 9 Killed
16,0,5,pusty,2007-01-14 12:03:24,3,2,2,0.14,17
16,0,5,pusty,2007-01-14 12:03:24,3,3,2,0.15,1
16,0,6,pusty,2007-01-14 12:03:29,1,1,2,4.32,22434353
16,0,6,pusty,2007-01-14 12:03:36,1,2,2,6.87,11330356
16,0,6,pusty,2007-01-14 12:03:43,1,3,2,7.44,11330356
16,0,6,pusty,2007-01-14 12:03:44,2,1,2,0.36,1873219
16,0,6,pusty,2007-01-14 12:03:45,2,2,2,0.74,1159446
16,0,6,pusty,2007-01-14 12:03:45,2,3,2,0.77,1159446
16,0,6,pusty,2007-01-14 12:03:46,3,1,2,0.24,338451
16,0,6,pusty,2007-01-14 12:03:46,3,2,2,0.31,213573
16,0,6,pusty,2007-01-14 12:03:46,3,3,2,0.31,213573
16,0,7,pusty,2007-01-14 12:03:49,1,1,2,2.52,13029768
16,0,7,pusty,2007-01-14 12:03:52,1,2,2,3.24,5108249
16,0,7,pusty,2007-01-14 12:03:56,1,3,2,3.65,5108249
16,0,7,pusty,2007-01-14 12:03:57,2,1,2,0.64,3475733
16,0,7,pusty,2007-01-14 12:03:58,2,2,2,1.29,2075336
16,0,7,pusty,2007-01-14 12:04:00,2,3,2,1.40,2075336
16,0,7,pusty,2007-01-14 12:04:00,3,1,2,0.42,1483422
16,0,7,pusty,2007-01-14 12:04:01,3,2,2,0.69,869791
16,0,7,pusty,2007-01-14 12:04:02,3,3,2,0.81,869791
16,0,8,pusty,2007-01-14 12:04:17,1,1,2,14.92,76872604
16,0,8,pusty,2007-01-14 12:04:38,1,2,2,20.90,36093296
16,0,8,pusty,2007-01-14 12:05:02,1,3,2,22.98,36093296
16,0,8,pusty,2007-01-14 12:05:03,2,1,2,1.28,6626905
16,0,8,pusty,2007-01-14 12:05:05,2,2,2,1.48,2699723
16,0,8,pusty,2007-01-14 12:05:06,2,3,2,1.58,2699723
16,0,8,pusty,2007-01-14 12:05:07,3,1,2,0.51,1845339
16,0,8,pusty,2007-01-14 12:05:08,3,2,2,0.68,938132
16,0,8,pusty,2007-01-14 12:05:08,3,3,2,0.71,938132
16,0,9,pusty,2007-01-14 12:05:10,1,1,2,0.95,5041382
16,0,9,pusty,2007-01-14 12:05:11,1,2,2,1.11,2053255
16,0,9,pusty,2007-01-14 12:05:12,1,3,2,1.15,2053255
16,0,9,pusty,2007-01-14 12:05:12,2,1,2,0.02,152079
16,0,9,pusty,2007-01-14 12:05:12,2,2,2,0.04,69364
16,0,9,pusty,2007-01-14 12:05:12,2,3,2,0.04,69364
16,0,9,pusty,2007-01-14 12:05:12,3,1,2,0.18,17
16,0,9,pusty,2007-01-14 12:05:13,3,2,2,0.16,1
16,0,9,pusty,2007-01-14 12:05:13,3,3,2,0.18,1
16,1,10,pusty,2007-01-14 12:06:38,1,1,2,30.71,158264170
16,1,10,pusty,2007-01-14 12:07:38,1,2,2,Command exited with non-zero status 137 0.00,Timeout: aborting command ``../../src/branch'' with signal 9 Killed
16,1,10,pusty,2007-01-14 12:08:38,1,3,2,Command exited with non-zero status 137 0.00,Timeout: aborting command ``../../src/branch'' with signal 9 Killed
16,1,10,pusty,2007-01-14 12:08:39,2,1,2,0.40,2177295
16,1,10,pusty,2007-01-14 12:08:40,2,2,2,0.93,1595444
16,1,10,pusty,2007-01-14 12:08:41,2,3,2,0.94,1581917
16,1,10,pusty,2007-01-14 12:08:41,3,1,2,0.49,1710596
16,1,10,pusty,2007-01-14 12:08:42,3,2,2,0.88,1246851
16,1,10,pusty,2007-01-14 12:08:43,3,3,2,0.94,1233485
16,1,11,pusty,2007-01-14 12:08:46,1,1,2,2.42,11824732
16,1,11,pusty,2007-01-14 12:08:50,1,2,2,3.75,5976029
16,1,11,pusty,2007-01-14 12:08:54,1,3,2,3.56,4478363
16,1,11,pusty,2007-01-14 12:08:54,2,1,2,0.48,2525044
16,1,11,pusty,2007-01-14 12:08:55,2,2,2,0.65,1141833
16,1,11,pusty,2007-01-14 12:08:56,2,3,2,0.67,777121
16,1,11,pusty,2007-01-14 12:08:56,3,1,2,0.39,1170620
