tasks,offlines,repeat,tag,date,init,approx,cmax,time,cmax_min
20,3,14,pusty,2007-01-05 19:44:50,2,2,134529273,Command exited with non-zero status 137 0.00,
20,3,14,pusty,2007-01-05 19:45:50,2,3,134529273,Command exited with non-zero status 137 0.00,
20,3,14,pusty,2007-01-05 19:46:50,3,1,134529273,Command exited with non-zero status 137 0.00,
20,3,14,pusty,2007-01-05 19:47:50,3,2,134529273,Command exited with non-zero status 137 0.00,
20,3,14,pusty,2007-01-05 19:48:50,3,3,134529273,Command exited with non-zero status 137 0.00,
20,3,15,pusty,2007-01-05 19:49:50,1,1,134529273,Command exited with non-zero status 137 0.00,
20,3,15,pusty,2007-01-05 19:50:50,1,2,134529273,Command exited with non-zero status 137 0.00,
20,3,15,pusty,2007-01-05 19:51:50,1,3,134529273,Command exited with non-zero status 137 0.00,
20,3,15,pusty,2007-01-05 19:52:50,2,1,134529273,Command exited with non-zero status 137 0.00,
20,3,15,pusty,2007-01-05 19:53:50,2,2,134529273,Command exited with non-zero status 137 0.00,
20,3,15,pusty,2007-01-05 19:54:50,2,3,134529273,Command exited with non-zero status 137 0.00,
20,3,15,pusty,2007-01-05 19:55:50,3,1,134529273,Command exited with non-zero status 137 0.00,
20,3,15,pusty,2007-01-05 19:56:50,3,2,134529273,Command exited with non-zero status 137 0.00,
20,3,15,pusty,2007-01-05 19:57:50,3,3,134529273,Command exited with non-zero status 137 0.00,
20,3,16,pusty,2007-01-05 19:58:21,1,1,1609,29.70,
20,3,16,pusty,2007-01-05 19:58:53,1,2,1609,30.00,
20,3,16,pusty,2007-01-05 19:59:24,1,3,1609,29.63,
20,3,16,pusty,2007-01-05 19:59:55,2,1,1609,30.06,
20,3,16,pusty,2007-01-05 20:00:26,2,2,1609,29.67,
20,3,16,pusty,2007-01-05 20:00:58,2,3,1609,30.48,
20,3,16,pusty,2007-01-05 20:01:29,3,1,1609,29.50,
20,3,16,pusty,2007-01-05 20:02:00,3,2,1609,29.88,
20,3,16,pusty,2007-01-05 20:02:41,3,3,1609,38.09,
20,3,17,pusty,2007-01-05 20:03:41,1,1,134529273,Command exited with non-zero status 137 0.00,
20,3,17,pusty,2007-01-05 20:04:41,1,2,134529273,Command exited with non-zero status 137 0.00,
20,3,17,pusty,2007-01-05 20:05:41,1,3,134529273,Command exited with non-zero status 137 0.00,
20,3,17,pusty,2007-01-05 20:06:41,2,1,134529273,Command exited with non-zero status 137 0.00,
20,3,17,pusty,2007-01-05 20:07:41,2,2,134529273,Command exited with non-zero status 137 0.00,
20,3,17,pusty,2007-01-05 20:08:41,2,3,134529273,Command exited with non-zero status 137 0.00,
20,3,17,pusty,2007-01-05 20:09:41,3,1,134529273,Command exited with non-zero status 137 0.00,
20,3,17,pusty,2007-01-05 20:10:41,3,2,134529273,Command exited with non-zero status 137 0.00,
20,3,17,pusty,2007-01-05 20:11:41,3,3,134529273,Command exited with non-zero status 137 0.00,
20,3,18,pusty,2007-01-05 20:12:41,1,1,134529273,Command exited with non-zero status 137 0.00,
20,3,18,pusty,2007-01-05 20:13:41,1,2,134529273,Command exited with non-zero status 137 0.00,
20,3,18,pusty,2007-01-05 20:14:41,1,3,134529273,Command exited with non-zero status 137 0.00,
20,3,18,pusty,2007-01-05 20:15:41,2,1,134529273,Command exited with non-zero status 137 0.00,
20,3,18,pusty,2007-01-05 20:16:41,2,2,134529273,Command exited with non-zero status 137 0.00,
20,3,18,pusty,2007-01-05 20:17:41,2,3,134529273,Command exited with non-zero status 137 0.00,
20,3,18,pusty,2007-01-05 20:18:41,3,1,134529273,Command exited with non-zero status 137 0.00,
20,3,18,pusty,2007-01-05 20:19:41,3,2,134529273,Command exited with non-zero status 137 0.00,
20,3,18,pusty,2007-01-05 20:20:41,3,3,134529273,Command exited with non-zero status 137 0.00,
20,3,19,pusty,2007-01-05 20:20:42,1,1,1510,0.83,
20,3,19,pusty,2007-01-05 20:20:43,1,2,1510,0.77,
20,3,19,pusty,2007-01-05 20:20:44,1,3,1510,0.76,
20,3,19,pusty,2007-01-05 20:20:45,2,1,1510,0.77,
20,3,19,pusty,2007-01-05 20:20:46,2,2,1510,0.82,
20,3,19,pusty,2007-01-05 20:20:47,2,3,1510,0.70,
20,3,19,pusty,2007-01-05 20:20:48,3,1,1510,0.84,
20,3,19,pusty,2007-01-05 20:20:48,3,2,1510,0.72,
20,3,19,pusty,2007-01-05 20:20:49,3,3,1510,0.74,
20,3,1,pusty,2007-01-05 19:07:34,1,1,1476,14.52,
20,3,1,pusty,2007-01-05 19:07:50,1,2,1476,14.55,
20,3,1,pusty,2007-01-05 19:08:05,1,3,1476,14.73,
20,3,1,pusty,2007-01-05 19:08:21,2,1,1476,14.76,
20,3,1,pusty,2007-01-05 19:08:36,2,2,1476,14.83,
20,3,1,pusty,2007-01-05 19:08:52,2,3,1476,14.74,
20,3,1,pusty,2007-01-05 19:09:07,3,1,1476,14.55,
20,3,1,pusty,2007-01-05 19:09:22,3,2,1476,14.54,
20,3,1,pusty,2007-01-05 19:09:37,3,3,1476,14.65,
20,3,20,pusty,2007-01-05 20:25:00,1,1,1551,8.49,
20,3,20,pusty,2007-01-05 20:25:09,1,2,1551,8.58,
20,3,20,pusty,2007-01-05 20:25:18,1,3,1551,8.56,
20,3,20,pusty,2007-01-05 20:25:27,2,1,1551,8.58,
20,3,20,pusty,2007-01-05 20:25:36,2,2,1551,8.64,
20,3,20,pusty,2007-01-05 20:25:45,2,3,1551,8.57,
20,3,20,pusty,2007-01-05 20:25:54,3,1,1551,8.56,
20,3,20,pusty,2007-01-05 20:26:03,3,2,1551,8.57,
20,3,20,pusty,2007-01-05 20:26:12,3,3,1551,8.52,
20,3,2,pusty,2007-01-05 20:21:16,1,1,1556,25.46,
20,3,2,pusty,2007-01-05 20:21:43,1,2,1556,25.59,
20,3,2,pusty,2007-01-05 20:22:09,1,3,1556,25.77,
20,3,2,pusty,2007-01-05 20:22:36,2,1,1556,25.43,
20,3,2,pusty,2007-01-05 20:23:03,2,2,1556,25.43,
20,3,2,pusty,2007-01-05 20:23:29,2,3,1556,25.32,
20,3,2,pusty,2007-01-05 20:23:56,3,1,1556,26.00,
20,3,2,pusty,2007-01-05 20:24:24,3,2,1556,26.59,
20,3,2,pusty,2007-01-05 20:24:51,3,3,1556,26.06,
20,3,3,pusty,2007-01-05 20:26:37,1,1,1406,24.04,
20,3,3,pusty,2007-01-05 20:27:03,1,2,1406,24.17,
20,3,3,pusty,2007-01-05 20:27:27,1,3,1406,23.72,
20,3,3,pusty,2007-01-05 20:27:52,2,1,1406,24.04,
20,3,3,pusty,2007-01-05 20:28:18,2,2,1406,24.05,
20,3,3,pusty,2007-01-05 20:28:43,2,3,1406,23.94,
20,3,3,pusty,2007-01-05 20:29:08,3,1,1406,24.03,
20,3,3,pusty,2007-01-05 20:29:33,3,2,1406,23.82,
20,3,3,pusty,2007-01-05 20:29:58,3,3,1406,23.88,
20,3,4,pusty,2007-01-05 20:30:07,1,1,1512,8.52,
20,3,4,pusty,2007-01-05 20:30:16,1,2,1512,8.63,
20,3,4,pusty,2007-01-05 20:30:24,1,3,1512,8.27,
20,3,4,pusty,2007-01-05 20:30:33,2,1,1512,8.30,
20,3,4,pusty,2007-01-05 20:30:42,2,2,1512,8.34,
20,3,4,pusty,2007-01-05 20:30:50,2,3,1512,8.31,
20,3,4,pusty,2007-01-05 20:30:59,3,1,1512,8.37,
20,3,4,pusty,2007-01-05 20:31:08,3,2,1512,8.29,
20,3,4,pusty,2007-01-05 20:31:17,3,3,1512,8.47,
20,3,5,pusty,2007-01-05 20:32:17,1,1,134529273,Command exited with non-zero status 137 0.00,
20,3,5,pusty,2007-01-05 20:33:17,1,2,134529273,Command exited with non-zero status 137 0.00,
20,3,5,pusty,2007-01-05 20:34:17,1,3,134529273,Command exited with non-zero status 137 0.00,
20,3,5,pusty,2007-01-05 20:35:17,2,1,134529273,Command exited with non-zero status 137 0.00,
20,3,5,pusty,2007-01-05 20:36:17,2,2,134529273,Command exited with non-zero status 137 0.00,
20,3,5,pusty,2007-01-05 20:37:17,2,3,134529273,Command exited with non-zero status 137 0.00,
20,3,5,pusty,2007-01-05 20:38:14,3,1,134529273,Command exited with non-zero status 137 0.00,
20,3,5,pusty,2007-01-05 20:39:17,3,2,134529273,Command exited with non-zero status 137 0.00,
20,3,5,pusty,2007-01-05 20:40:17,3,3,134529273,Command exited with non-zero status 137 0.00,
20,3,6,pusty,2007-01-05 20:40:39,1,1,1622,21.02,
20,3,6,pusty,2007-01-05 20:41:01,1,2,1622,21.06,
20,3,6,pusty,2007-01-05 20:41:24,1,3,1622,21.21,
20,3,6,pusty,2007-01-05 20:41:45,2,1,1622,20.89,
20,3,6,pusty,2007-01-05 20:42:08,2,2,1622,21.05,
20,3,6,pusty,2007-01-05 20:42:29,2,3,1622,20.90,
20,3,6,pusty,2007-01-05 20:42:51,3,1,1622,20.87,
20,3,6,pusty,2007-01-05 20:43:13,3,2,1622,21.01,
20,3,6,pusty,2007-01-05 20:43:35,3,3,1622,20.86,
20,3,7,pusty,2007-01-05 20:44:35,1,1,134529273,Command exited with non-zero status 137 0.00,
20,3,7,pusty,2007-01-05 20:45:35,1,2,134529273,Command exited with non-zero status 137 0.00,
20,3,7,pusty,2007-01-05 20:46:35,1,3,134529273,Command exited with non-zero status 137 0.00,
20,3,7,pusty,2007-01-05 20:47:35,2,1,134529273,Command exited with non-zero status 137 0.00,
20,3,7,pusty,2007-01-05 20:48:35,2,2,134529273,Command exited with non-zero status 137 0.00,
20,3,7,pusty,2007-01-05 20:49:35,2,3,134529273,Command exited with non-zero status 137 0.00,
20,3,7,pusty,2007-01-05 20:50:35,3,1,134529273,Command exited with non-zero status 137 0.00,
20,3,7,pusty,2007-01-05 20:51:35,3,2,134529273,Command exited with non-zero status 137 0.00,
20,3,7,pusty,2007-01-05 20:52:35,3,3,134529273,Command exited with non-zero status 137 0.00,
20,3,8,pusty,2007-01-05 20:53:35,1,1,134529273,Command exited with non-zero status 137 0.00,
20,3,8,pusty,2007-01-05 20:54:32,1,2,134529273,Command exited with non-zero status 137 0.00,
20,3,8,pusty,2007-01-05 20:55:36,1,3,134529273,Command exited with non-zero status 137 0.00,
20,3,8,pusty,2007-01-05 20:56:36,2,1,134529273,Command exited with non-zero status 137 0.00,
20,3,8,pusty,2007-01-05 20:57:36,2,2,134529273,Command exited with non-zero status 137 0.00,
20,3,8,pusty,2007-01-05 20:58:36,2,3,134529273,Command exited with non-zero status 137 0.00,
20,3,8,pusty,2007-01-05 20:59:36,3,1,134529273,Command exited with non-zero status 137 0.00,
20,3,8,pusty,2007-01-05 21:00:36,3,2,134529273,Command exited with non-zero status 137 0.00,
20,3,8,pusty,2007-01-05 21:01:36,3,3,134529273,Command exited with non-zero status 137 0.00,
20,3,9,pusty,2007-01-05 21:02:36,1,1,134529273,Command exited with non-zero status 137 0.00,
20,3,9,pusty,2007-01-05 21:03:36,1,2,134529273,Command exited with non-zero status 137 0.00,
20,3,9,pusty,2007-01-05 21:04:36,1,3,134529273,Command exited with non-zero status 137 0.00,
20,3,9,pusty,2007-01-05 21:05:36,2,1,134529273,Command exited with non-zero status 137 0.00,
20,3,9,pusty,2007-01-05 21:06:36,2,2,134529273,Command exited with non-zero status 137 0.00,
20,3,9,pusty,2007-01-05 21:07:36,2,3,134529273,Command exited with non-zero status 137 0.00,
20,3,9,pusty,2007-01-05 21:08:36,3,1,134529273,Command exited with non-zero status 137 0.00,
20,3,9,pusty,2007-01-05 21:09:36,3,2,134529273,Command exited with non-zero status 137 0.00,
20,3,9,pusty,2007-01-05 21:10:36,3,3,134529273,Command exited with non-zero status 137 0.00,
5,3,10,pusty,2007-01-05 21:11:13,1,1,444,0.00,
5,3,10,pusty,2007-01-05 21:11:13,1,2,444,0.00,
5,3,10,pusty,2007-01-05 21:11:13,1,3,444,0.00,
5,3,10,pusty,2007-01-05 21:11:13,2,1,444,0.00,
5,3,10,pusty,2007-01-05 21:11:13,2,2,444,0.00,
5,3,10,pusty,2007-01-05 21:11:13,2,3,444,0.00,
5,3,10,pusty,2007-01-05 21:11:13,3,1,444,0.00,
5,3,10,pusty,2007-01-05 21:11:13,3,2,444,0.00,
5,3,10,pusty,2007-01-05 21:11:13,3,3,444,0.00,
5,3,11,pusty,2007-01-05 21:11:14,1,1,421,0.00,
5,3,11,pusty,2007-01-05 21:11:14,1,2,421,0.00,
5,3,11,pusty,2007-01-05 21:11:14,1,3,421,0.00,
5,3,11,pusty,2007-01-05 21:11:14,2,1,421,0.00,
5,3,11,pusty,2007-01-05 21:11:14,2,2,421,0.00,
5,3,11,pusty,2007-01-05 21:11:14,2,3,421,0.00,
5,3,11,pusty,2007-01-05 21:11:14,3,1,421,0.00,
5,3,11,pusty,2007-01-05 21:11:14,3,2,421,0.00,
5,3,11,pusty,2007-01-05 21:11:14,3,3,421,0.00,
5,3,12,pusty,2007-01-05 21:11:14,1,1,653,0.00,
5,3,12,pusty,2007-01-05 21:11:14,1,2,653,0.00,
5,3,12,pusty,2007-01-05 21:11:14,1,3,653,0.00,
5,3,12,pusty,2007-01-05 21:11:14,2,1,653,0.00,
5,3,12,pusty,2007-01-05 21:11:14,2,2,653,0.00,
5,3,12,pusty,2007-01-05 21:11:14,2,3,653,0.00,
