tasks,offlines,repeat,tag,date,init,approx,time,calls
13,25,11,init_best,2007-01-06 18:20:27,2,0,Command exited with non-zero status 137 0.00,Timeout: aborting command ``../../src/branch'' with signal 9 Killed
13,25,11,init_best,2007-01-06 18:21:27,3,0,Command exited with non-zero status 137 0.00,Timeout: aborting command ``../../src/branch'' with signal 9 Killed
13,25,11,init_best,2007-01-06 19:18:36,1,1,6.36,22944659
13,25,11,init_best,2007-01-06 19:18:38,2,1,1.68,5690668
13,25,11,init_best,2007-01-06 19:18:38,3,1,0.33,1081220
13,25,12,init_best,2007-01-06 18:22:27,1,0,Command exited with non-zero status 137 0.00,Timeout: aborting command ``../../src/branch'' with signal 9 Killed
13,25,12,init_best,2007-01-06 18:23:27,2,0,Command exited with non-zero status 137 0.00,Timeout: aborting command ``../../src/branch'' with signal 9 Killed
13,25,12,init_best,2007-01-06 18:24:27,3,0,Command exited with non-zero status 137 0.00,Timeout: aborting command ``../../src/branch'' with signal 9 Killed
13,25,12,init_best,2007-01-06 19:18:38,1,1,0.13,415193
13,25,12,init_best,2007-01-06 19:18:38,2,1,0.13,409127
13,25,12,init_best,2007-01-06 19:18:38,3,1,0.04,38021
13,25,13,init_best,2007-01-06 18:25:28,1,0,Command exited with non-zero status 137 0.00,Timeout: aborting command ``../../src/branch'' with signal 9 Killed
13,25,13,init_best,2007-01-06 18:26:28,2,0,Command exited with non-zero status 137 0.00,Timeout: aborting command ``../../src/branch'' with signal 9 Killed
13,25,13,init_best,2007-01-06 18:27:28,3,0,Command exited with non-zero status 137 0.00,Timeout: aborting command ``../../src/branch'' with signal 9 Killed
13,25,13,init_best,2007-01-06 19:18:39,1,1,0.53,1547113
13,25,13,init_best,2007-01-06 19:18:40,2,1,0.36,1252793
13,25,13,init_best,2007-01-06 19:18:40,3,1,0.15,405721
13,25,14,init_best,2007-01-06 18:28:28,1,0,Command exited with non-zero status 137 0.00,Timeout: aborting command ``../../src/branch'' with signal 9 Killed
