offlines,tasks,repeat,tag,date,tabus,counts,resets,distance,cmax,time
0,30,5,sort i asp,2006-11-21 18:41:49,50,200,1,1,2655,0.01
0,30,5,sort i asp,2006-11-21 18:41:49,75,50,1,1,2655,0.00
0,30,5,sort i asp,2006-11-21 18:41:49,75,100,1,1,2655,0.00
0,30,5,sort i asp,2006-11-21 18:41:49,75,200,1,1,2655,0.01
0,30,5,sort i asp,2006-11-21 18:41:49,5,50,1,2,2622,0.01
0,30,5,sort i asp,2006-11-21 18:41:49,5,100,1,2,2622,0.01
0,30,5,sort i asp,2006-11-21 18:41:49,5,200,1,2,2622,0.02
0,30,5,sort i asp,2006-11-21 18:41:49,15,50,1,2,2622,0.01
0,30,5,sort i asp,2006-11-21 18:41:49,15,100,1,2,2622,0.03
0,30,5,sort i asp,2006-11-21 18:41:49,15,200,1,2,2622,0.03
0,30,5,sort i asp,2006-11-21 18:41:49,25,50,1,2,2622,0.02
0,30,5,sort i asp,2006-11-21 18:41:49,25,100,1,2,2622,0.03
