tasks,offlines,repeat,tag,date,tabus,chances,resets,distance,cmax,time
50,10,13,test tabulisty,2006-11-23 14:32:53,80,25,1,3,4501,0.26
50,10,13,test tabulisty,2006-11-23 14:32:53,80,50,1,3,4501,0.47
50,10,13,test tabulisty,2006-11-23 14:32:55,80,75,1,3,4216,2.13
50,10,13,test tabulisty,2006-11-23 14:32:56,100,25,1,3,4501,0.26
50,10,13,test tabulisty,2006-11-23 14:32:56,100,50,1,3,4501,0.46
50,10,13,test tabulisty,2006-11-23 14:32:59,100,75,1,3,4301,2.55
50,10,13,test tabulisty,2006-11-23 14:32:59,120,25,1,3,4501,0.29
50,10,13,test tabulisty,2006-11-23 14:33:00,120,50,1,3,4501,0.48
50,10,13,test tabulisty,2006-11-23 14:33:02,120,75,1,3,4342,1.47
50,10,13,test tabulisty,2006-11-23 14:33:02,140,25,1,3,4501,0.27
50,10,13,test tabulisty,2006-11-23 14:33:03,140,50,1,3,4501,0.48
50,10,13,test tabulisty,2006-11-23 14:33:04,140,75,1,3,4342,1.49
50,10,13,test tabulisty,2006-11-23 14:33:05,160,25,1,3,4501,0.26
50,10,13,test tabulisty,2006-11-23 14:33:05,160,50,1,3,4501,0.47
50,10,13,test tabulisty,2006-11-23 14:33:07,160,75,1,3,4342,1.51
50,10,13,test tabulisty,2006-11-23 14:33:07,180,25,1,3,4501,0.27
50,10,13,test tabulisty,2006-11-23 14:33:08,180,50,1,3,4501,0.48
50,10,13,test tabulisty,2006-11-23 14:33:09,180,75,1,3,4342,1.53
50,10,13,test tabulisty,2006-11-23 14:33:10,200,25,1,3,4501,0.27
50,10,13,test tabulisty,2006-11-23 14:33:10,200,50,1,3,4501,0.49
50,10,13,test tabulisty,2006-11-23 14:33:12,200,75,1,3,4342,1.48
50,10,14,test tabulisty,2006-11-23 14:33:12,0,25,1,3,4192,0.31
50,10,14,test tabulisty,2006-11-23 14:33:13,0,50,1,3,4192,0.54
50,10,14,test tabulisty,2006-11-23 14:33:14,0,75,1,3,4192,0.75
50,10,14,test tabulisty,2006-11-23 14:33:14,20,25,1,3,4134,0.40
50,10,14,test tabulisty,2006-11-23 14:33:15,20,50,1,3,4134,0.58
50,10,14,test tabulisty,2006-11-23 14:33:16,20,75,1,3,4134,0.80
50,10,14,test tabulisty,2006-11-23 14:33:16,40,25,1,3,4134,0.37
50,10,14,test tabulisty,2006-11-23 14:33:18,40,50,1,3,3886,1.71
50,10,14,test tabulisty,2006-11-23 14:33:23,40,75,1,3,3808,4.80
50,10,14,test tabulisty,2006-11-23 14:33:24,60,25,1,3,4134,0.36
50,10,14,test tabulisty,2006-11-23 14:33:25,60,50,1,3,3905,1.32
50,10,14,test tabulisty,2006-11-23 14:33:27,60,75,1,3,3905,1.43
50,10,14,test tabulisty,2006-11-23 14:33:27,80,25,1,3,4134,0.37
50,10,14,test tabulisty,2006-11-23 14:33:28,80,50,1,3,3894,1.26
50,10,14,test tabulisty,2006-11-23 14:33:30,80,75,1,3,3894,1.43
50,10,14,test tabulisty,2006-11-23 14:33:31,100,25,1,3,4134,0.35
50,10,14,test tabulisty,2006-11-23 14:33:31,100,50,1,3,4002,0.85
50,10,14,test tabulisty,2006-11-23 14:33:33,100,75,1,3,3892,1.75
50,10,14,test tabulisty,2006-11-23 14:33:34,120,25,1,3,4134,0.35
50,10,14,test tabulisty,2006-11-23 14:33:35,120,50,1,3,4002,0.87
50,10,14,test tabulisty,2006-11-23 14:33:36,120,75,1,3,3990,1.51
50,10,14,test tabulisty,2006-11-23 14:33:37,140,25,1,3,4134,0.35
50,10,14,test tabulisty,2006-11-23 14:33:38,140,50,1,3,4002,0.87
50,10,14,test tabulisty,2006-11-23 14:33:40,140,75,1,3,3990,1.49
50,10,14,test tabulisty,2006-11-23 14:33:40,160,25,1,3,4134,0.37
50,10,14,test tabulisty,2006-11-23 14:33:41,160,50,1,3,4002,0.83
50,10,14,test tabulisty,2006-11-23 14:33:43,160,75,1,3,3990,1.52
50,10,14,test tabulisty,2006-11-23 14:33:43,180,25,1,3,4134,0.34
50,10,14,test tabulisty,2006-11-23 14:33:44,180,50,1,3,4002,0.85
50,10,14,test tabulisty,2006-11-23 14:33:46,180,75,1,3,3990,1.49
50,10,14,test tabulisty,2006-11-23 14:33:46,200,25,1,3,4134,0.39
50,10,14,test tabulisty,2006-11-23 14:33:47,200,50,1,3,4002,0.86
50,10,14,test tabulisty,2006-11-23 14:33:49,200,75,1,3,3990,1.52
50,10,15,test tabulisty,2006-11-23 14:33:49,0,25,1,3,4711,0.22
50,10,15,test tabulisty,2006-11-23 14:33:50,0,50,1,3,4711,0.46
50,10,15,test tabulisty,2006-11-23 14:33:51,0,75,1,3,4711,0.69
50,10,15,test tabulisty,2006-11-23 14:33:51,20,25,1,3,4711,0.22
50,10,15,test tabulisty,2006-11-23 14:33:52,20,50,1,3,4711,0.46
50,10,15,test tabulisty,2006-11-23 14:33:52,20,75,1,3,4711,0.69
50,10,15,test tabulisty,2006-11-23 14:33:53,40,25,1,3,4711,0.23
50,10,15,test tabulisty,2006-11-23 14:33:53,40,50,1,3,4711,0.52
50,10,15,test tabulisty,2006-11-23 14:33:55,40,75,1,3,4349,1.91
50,10,15,test tabulisty,2006-11-23 14:33:56,60,25,1,3,4711,0.24
50,10,15,test tabulisty,2006-11-23 14:33:56,60,50,1,3,4711,0.49
50,10,15,test tabulisty,2006-11-23 14:33:59,60,75,1,3,4349,2.39
50,10,15,test tabulisty,2006-11-23 14:33:59,80,25,1,3,4711,0.25
50,10,15,test tabulisty,2006-11-23 14:34:00,80,50,1,3,4711,0.47
50,10,15,test tabulisty,2006-11-23 14:34:02,80,75,1,3,4324,1.57
50,10,15,test tabulisty,2006-11-23 14:34:02,100,25,1,3,4711,0.25
50,10,15,test tabulisty,2006-11-23 14:34:02,100,50,1,3,4711,0.46
50,10,15,test tabulisty,2006-11-23 14:34:04,100,75,1,3,4324,1.58
50,10,15,test tabulisty,2006-11-23 14:34:05,120,25,1,3,4711,0.25
